,Date,Signal,Open,High,Low,Close,Adj Close,scores_deviation
0,2015-11-19,13.768539657600002,116.440002,116.650002,115.739998,116.059998,108.281601,1.4323943937288488
1,2015-11-20,13.6088186616,116.480003,117.360001,116.379997,116.809998,108.981323,1.4972110723209835
2,2015-11-23,12.9905888508,116.709999,117.889999,116.68,117.389999,109.522453,1.7480960777131334
3,2015-11-24,12.667435013999999,116.879997,118.419998,116.559998,118.25,110.324837,1.879235745635569
4,2015-11-25,13.019910010799997,118.300003,119.32,118.110001,119.169998,111.183159,1.736197202479045
5,2015-11-27,12.879819118799999,119.269997,119.900002,118.879997,119.620003,111.602997,1.7930477515480556
6,2015-11-30,13.1847914496,120.019997,120.07,119.050003,119.099998,111.117851,1.6692863548625645
7,2015-12-01,12.9226314672,119.610001,119.910004,118.900002,119.889999,111.854897,1.775673991707381
8,2015-12-02,13.1180755764,119.730003,120.040001,118.449997,118.599998,110.651367,1.6963604491801205
9,2015-12-03,12.91653996,118.93,119.449997,116.139999,116.599998,108.785408,1.7781459977317118
10,2015-12-04,13.155277996799999,116.599998,117.93,116.339996,117.779999,109.886322,1.6812632648004529
11,2015-12-07,12.4302210924,117.639999,117.669998,115.510002,116.010002,108.234947,1.9754999745033055
12,2015-12-08,13.030335177600001,114.959999,116.010002,114.459999,115.370003,107.637833,1.7319665458799258
13,2015-12-09,12.43960416,115.029999,116.169998,113.599998,114.080002,106.434288,1.9716922141457538
14,2015-12-10,13.24967112,113.889999,115.080002,113.650002,114.459999,106.788841,1.6429574134660283
15,2015-12-11,13.0675260816,113.269997,113.339996,111.529999,111.910004,104.409737,1.7168740349922598
16,2015-12-14,13.0549548432,111.870003,112.379997,110.279999,111.110001,103.663368,1.721975592954482
17,2015-12-15,12.231404892,111.730003,112.959999,111.599998,112.709999,105.15612,2.0561819517196014
18,2015-12-16,13.0780739232,113.489998,114.650002,112.830002,114.43,106.760834,1.712593595501212
19,2015-12-17,12.4365794952,114.910004,114.940002,112.970001,113.209999,105.622612,1.9729196590722213
20,2015-12-18,13.1074951896,112.660004,112.889999,111.440002,111.480003,104.008545,1.7006540959001555
21,2015-12-21,12.4885312068,112.169998,112.629997,111.5,112.32,104.792259,1.951837037016143
22,2015-12-22,12.9433300224,112.639999,113.519997,111.790001,113.349998,105.753227,1.7672742719878776
23,2015-12-23,12.953485079999998,113.919998,114.959999,113.730003,114.779999,107.087379,1.7631532289125909
24,2015-12-24,12.5665888824,114.440002,115.160004,114.150002,114.5,107.289787,1.920160304478022
25,2015-12-28,13.1699153664,113.980003,114.07,112.959999,113.970001,106.793152,1.6753232462396024
26,2015-12-29,12.988398402,114.480003,115.290001,114.07,115.199997,107.945709,1.7489849878714583
27,2015-12-30,12.6448271064,115.050003,115.349998,114.0,114.040001,106.858749,1.8884103032532151
28,2015-12-31,11.963824319999999,113.559998,113.970001,112.510002,112.620003,105.528168,2.164769328252262
29,2016-01-04,12.475991808000002,110.610001,110.830002,109.080002,110.010002,103.082527,1.9569256740902448
